main_category,sub_category,book_id,book_title,book_author,publisher,publish_date,aladin_price,aladin_star,aladin_review,kyobo_price,kyobo_star,kyobo_review,yes24_price,yes24_star,yes24_review,interpark_price,interpark_star,interpark_review
청소년,청소년 과학,14465567,인공지능 쫌 아는 10대,승현,풀빛,2019.01.15,11700,9.8,9,11700,10.0,9,13000,9.8,12,11700,10.0,7
청소년,청소년 과학,20845339,수학비타민 플러스 UP,박경미,김영사,2021.08.10,15750,9.9,17,15750,10.0,10,17500,9.8,18,15750,10.0,13
청소년,청소년 과학,17526590,궁금했어 뇌과학,윤한,나무생각,2020.12.14,11520,10.0,9,11520,10.0,6,12800,9.6,14,11520,10.0,6
청소년,청소년 과학,17608318,지구가 너무도 사나운 날에는,가치를꿈꾸는과학교사모임,우리학교,2020.12.15,13500,10.0,1,13500,10.0,1,15000,10.0,1,13500,0.0,0
청소년,청소년 과학,14102217,십대를 위한 미래과학 콘서트,정재승 김성완 이장주 권용주 한대희 김세훈 이용길 이주희 홍진규 서영진,청어람미디어,2018.10.22,11700,9.2,5,11700,9.6,4,13000,9.3,17,11700,9.2,4
청소년,청소년 과학,13349381,고등수학 개념사전 99,조안호,행복한나무,2018.03.02,26820,0.0,0,26820,10.0,0,29800,10.0,2,26820,0.0,0
청소년,청소년 과학,18828405,적분이 콩나물 사는 데 무슨 도움이 돼?,쏭쌤 정담,루비페이퍼,2021.03.15,13500,10.0,20,13500,10.0,10,15000,9.8,14,13500,10.0,9
청소년,청소년 과학,6087898,청소년을 위한 시간의 역사,스티븐 호킹,웅진지식하우스,2009.09.28,12420,8.5,9,12420,9.1,1,13800,9.4,6,12420,8.5,2
청소년,청소년 과학,15065050,정답을 넘어서는 토론학교,가치를꿈꾸는과학교사모임,우리학교,2019.06.24,13500,0.0,0,13500,10.0,0,15000,10.0,1,13500,8.0,0
청소년,청소년 과학,15704643,하리하라의 사이언스 인사이드,이은희,살림FRIENDS,2019.11.05,12600,10.0,1,12600,10.0,0,14000,10.0,3,12600,10.0,1
청소년,청소년 과학,22060583,청소년을 위한 한발 빠른 IT 수업,이임복,매경주니어북스,2022.03.07,13500,9.8,11,13500,10.0,1,15000,9.9,26,13500,10.0,4
청소년,청소년 과학,5336552,하리하라의 바이오 사이언스,이은희,살림FRIENDS,2009.01.15,10800,8.9,18,10800,8.8,6,12000,9.2,25,10800,9.2,14
청소년,청소년 과학,15559644,십 대 미래를 과학하라!,정재승 장동선 이식 한대희 이정모 고재현 장수진 조천호 황정아 이강환,청어람미디어,2019.10.26,11700,9.6,11,11700,9.6,1,13000,9.8,22,11700,10.0,5
청소년,청소년 과학,13453487,왜 기후변화가 문제일까?,공우석,반니,2018.03.27,11700,0.0,0,11700,10.0,0,13000,10.0,4,11700,0.0,0
청소년,청소년 과학,145584,종의 기원,윤소영,사계절,2004.03.15,12420,8.5,15,12420,9.8,7,13800,8.3,8,12420,9.0,5
청소년,청소년 과학,14413659,10대의 뇌,프랜시스 젠슨 에이미 엘리스 넛,웅진지식하우스,2019.01.03,16200,9.3,27,16200,9.0,12,18000,9.3,40,16200,9.4,10
청소년,청소년 과학,7384261,재밌어서 밤새읽는 지구과학 이야기,사마키 다케오,더숲,2013.12.09,10800,8.5,12,10800,9.5,6,12000,9.4,20,10800,9.5,9
청소년,청소년 과학,15076874,동물원에 동물이 없다면,노정래,다른,2019.07.03,12600,9.0,2,12600,10.0,1,14000,8.0,1,12600,0.0,0
청소년,청소년 과학,7194752,지구가 뿔났다,남종영,꿈결,2013.04.22,12420,9.4,43,12420,9.4,1,13800,9.4,83,12420,9.5,53
청소년,청소년 과학,16419342,개념연결 중학수학사전,국수학교사모임 중학수학사전팀,비아에듀,2020.07.27,25200,9.9,17,25200,9.7,17,28000,10.0,45,25200,10.0,10
청소년,청소년 과학,18875237,중고등학교 과학토론 완전정복,박재용 정기영,엠아이디,2021.04.06,15300,0.0,0,15300,10.0,0,17000,10.0,1,15300,0.0,0
청소년,청소년 과학,20924036,달력으로 배우는 지구환경 수업,최원형,블랙피쉬,2021.09.13,13500,9.7,28,13500,10.0,1,15000,9.9,31,13500,10.0,9
청소년,청소년 과학,22236928,파워풀한 실전 과학 토론,남숙경 이승경,특별한서재,2022.03.21,20700,9.7,55,20700,10.0,27,23000,9.8,63,20700,10.0,13
청소년,청소년 경제/자기계발,18524505,사회를 달리는 십대,황정숙 송현정 옹진환 이상인,우리학교,2021.03.22,12600,10.0,7,12600,10.0,3,14000,9.8,6,12600,10.0,2
청소년,청소년 경제/자기계발,18122497,청소년을 위한 에이트,이지성,생각학교,2021.03.05,11700,9.9,17,11700,10.0,6,13000,10.0,25,11700,10.0,5
청소년,청소년 과학,8924825,과학자의 서재,최재천,움직이는서재,2015.04.13,13500,7.2,5,13500,9.5,0,15000,9.0,5,13500,10.0,0
청소년,청소년 경제/자기계발,13659816,어서 와 마케팅은 처음이지?,박지혜,탐,2018.06.01,13500,10.0,6,13500,10.0,1,15000,9.6,13,13500,10.0,9
청소년,청소년 경제/자기계발,5041867,사회 선생님이 들려주는 경제 이야기,전국사회교사모임,인물과사상사,2008.11.10,10800,8.9,10,10800,9.6,1,12000,7.5,2,10800,8.0,3
청소년,청소년 경제/자기계발,16821923,10대가 알아야 할 미래 직업의 이동,박종서 신지나 민준홍,한스미디어,2020.10.08,13050,9.7,6,13050,8.6,4,14500,9.5,12,13050,9.2,5
청소년,청소년 과학,14925646,환경과 생태 쫌 아는 10대,원형,풀빛,2019.05.20,11700,9.7,6,11700,9.5,1,13000,9.6,11,11700,10.0,3
